Continente,Nombre,Solar (MWh),Plantas Solares,Eólica (MWh),Plantas Eólicas,Hidráulica (MWh),Plantas Hidráulicas,Biomasa (MWh),Plantas Biomasa,Reducción Gases (tonCO2),Dependencia Combustibles,Políticas Necesarias,Beneficios Económicos,Beneficios Medioambientales,Beneficios Sociales
Europe,Portugal,12000000,"Planta Solar de Amareleja",20000000,"Parque Eólico de Alto Minho",14000000,"Central Hidroeléctrica de Alqueva",4000000,"Planta de Biomasa Mortágua",35000000,Moderada,"Reforzar interconexiones energéticas,Impulsar investigación en energía oceánica","Fortalecimiento del sector exportador energético","Conservación de áreas naturales","Mejora de acceso a energía limpia"
Asia,Tailandia,15000000,"Planta Solar Lopburi,Planta Solar Nakhon Ratchasima",5000000,"Parque Eólico Theppana",8000000,"Central Hidroeléctrica de Sirindhorn",12000000,"Planta de Biomasa de Chonburi",30000000,Alta,"Ampliar las inversiones en energía solar y eólica,Reducir la dependencia de combustibles fósiles importados","Reducción de costes de importación energética","Preservación de los ecosistemas tropicales","Creación de empleos en zonas rurales"
Asia,India,100000000,"Parque Solar Bhadla,Parque Solar Pavagada",60000000,"Parque Eólico Muppandal",140000000,"Central Hidroeléctrica de Bhakra,Central Hidroeléctrica de Tehri",30000000,"Planta de Biomasa Punjab",500000000,Alta,"Fomentar la electrificación de zonas rurales,Incrementar la eficiencia energética en el sector industrial","Reducción de la pobreza energética","Reducción de contaminación del aire","Mayor acceso a energía limpia para millones de personas"
Asia,Japón,75000000,"Planta Solar de Kagoshima,Planta Solar de Oita",15000000,"Parque Eólico de Setana",90000000,"Central Hidroeléctrica de Kurobe,Central Hidroeléctrica de Okutadami",25000000,"Planta de Biomasa de Hokkaido",180000000,Moderada,"Reactivación segura de plantas nucleares,Desarrollar tecnologías de almacenamiento de energía","Reducción de costes energéticos a largo plazo","Protección de las zonas costeras","Mayor resiliencia frente a desastres naturales"
Asia,China,400000000,"Parque Solar Tengger,Parque Solar de Huanghe",350000000,"Parque Eólico Jiuquan,Parque Eólico Gansu",1200000000,"Presa de las Tres Gargantas,Central Hidroeléctrica de Baihetan",70000000,"Planta de Biomasa de Shandong",1500000000,Alta,"Transición acelerada hacia energías limpias,Inversión en redes de transporte sostenibles","Fortalecimiento del liderazgo global en renovables","Mejora de la calidad del aire en ciudades","Acceso a energía sostenible para millones de habitantes"
Asia,Filipinas,5000000,"Planta Solar de Negros Occidental",3000000,"Parque Eólico de Bangui",12000000,"Central Hidroeléctrica de Magat",4000000,"Planta de Biomasa Isabela",25000000,Moderada,"Promoción de energía solar para comunidades insulares,Inversión en sistemas de energía resilientes","Menor dependencia de importaciones de energía","Protección de ecosistemas marinos","Aumento del acceso a energía en zonas remotas"
North America,Estados Unidos,350000000,"Parque Solar Topaz (California),Parque Solar Copper Mountain (Nevada)",450000000,"Parque Eólico de Roscoe (Texas),Parque Eólico Alta Wind Energy Center (California)",300000000,"Presa Hoover (Nevada-Arizona),Central Hidroeléctrica de Grand Coulee (Washington)",70000000,"Planta de Biomasa Gainesville (Florida)",800000000,Moderada,"Expansión de redes inteligentes,Incentivos fiscales para energía renovable","Generación de empleos en energías limpias","Reducción significativa de emisiones de CO2","Mayor seguridad energética"
North America,Canadá,10000000,"Planta Solar Sarnia (Ontario)",35000000,"Parque Eólico Rivière-du-Moulin (Quebec)",400000000,"Central Hidroeléctrica de Churchill Falls (Terranova y Labrador),Presa de Beauharnois (Quebec)",15000000,"Planta de Biomasa de Prince George (Columbia Británica)",200000000,Baja,"Inversión en almacenamiento de energía renovable,Implementación de estándares más estrictos de eficiencia energética","Exportación de energía limpia a Estados Unidos","Preservación de áreas naturales","Impulso a comunidades rurales con empleo verde"
North America,Cuba,200000,"Parque Solar Cayo Coco",100000,"Parque Eólico Gibara",300000,"Central Hidroeléctrica de Hanabanilla",500000,"Planta de Biomasa Ciro Redondo",1000000,Alta,"Desarrollo de infraestructuras solares en zonas rurales,Colaboración internacional para financiamiento de renovables","Menor dependencia de petróleo importado","Reducción de contaminación en áreas urbanas","Mejora de acceso a energía limpia en zonas remotas"
North America,México,30000000,"Parque Solar Villanueva (Coahuila),Planta Solar Puerto Libertad (Sonora)",20000000,"Parque Eólico de La Ventosa (Oaxaca)",45000000,"Central Hidroeléctrica de Chicoasén (Chiapas)",7000000,"Planta de Biomasa de Nuevo León",150000000,Moderada,"Aumentar inversiones en renovables en el norte del país,Fortalecer marcos legales para promover energías limpias","Desarrollo de zonas industriales sostenibles","Protección de ecosistemas costeros y selvas","Ampliación del acceso a energía asequible"
North America,Las Bahamas,50000,"Planta Solar de Bimini",10000,"Parque Eólico de Eleuthera",0,,20000,"Planta de Biomasa de Nassau",50000,Alta,"Promoción de microgrids solares en islas pequeñas,Inversión en resiliencia energética frente a huracanes","Reducción de gastos en importación de combustibles","Protección de los arrecifes coralinos","Acceso estable a energía para comunidades remotas"
South America,Brasil,25000000,"Parque Solar Pirapora (Minas Gerais),Planta Solar Coremas (Paraíba)",65000000,"Parque Eólico Lagoa do Barro (Piauí),Parque Eólico Osório (Rio Grande do Sul)",370000000,"Central Hidroeléctrica de Itaipú (Paraná),Central Hidroeléctrica de Belo Monte (Pará)",90000000,"Planta de Biomasa de São Paulo,Planta de Biomasa de Mato Grosso",400000000,Baja,"Ampliar el desarrollo de energía eólica en el noreste,Fortalecer la inversión en energía solar en áreas rurales","Liderazgo regional en renovables","Protección de la Amazonía mediante uso de energías limpias","Expansión de la electrificación en áreas aisladas"
South America,Argentina,5000000,"Parque Solar Cauchari (Jujuy)",12000000,"Parque Eólico de Rawson (Chubut)",30000000,"Central Hidroeléctrica de Yacyretá (Misiones),Central Hidroeléctrica de Salto Grande (Entre Ríos)",3000000,"Planta de Biomasa Santa Fe",50000000,Moderada,"Desarrollar proyectos solares en la Puna,Ampliar la capacidad eólica en la Patagonia","Reducción de costes de importación energética","Disminución de la contaminación urbana","Mayor acceso a energía en comunidades rurales"
South America,Chile,25000000,"Parque Solar Cerro Dominador (Atacama),Planta Solar El Romero (Atacama)",9000000,"Parque Eólico San Gabriel (La Araucanía)",15000000,"Central Hidroeléctrica de Ralco (Biobío)",2000000,"Planta de Biomasa Coronel (Biobío)",60000000,Baja,"Fomentar el uso de hidrógeno verde,Mejorar la infraestructura de transmisión energética","Competitividad en exportación de energía limpia","Reducción de emisiones de carbono en minería","Mejor calidad de vida en comunidades locales"
Africa,Marruecos,12000000,"Complejo Solar Noor (Ouarzazate)",8000000,"Parque Eólico de Tarfaya",7000000,"Central Hidroeléctrica de Bin el Ouidane",1000000,"Planta de Biomasa Kenitra",30000000,Moderada,"Mejorar la conexión energética con Europa,Promover la inversión privada en renovables","Posicionamiento como exportador de energía limpia","Mitigación de la desertificación","Creación de empleos en zonas rurales"
Africa,Egipto,14000000,"Parque Solar Benban (Asuán)",12000000,"Parque Eólico Zafarana (Mar Rojo)",15000000,"Presa de Asuán",2000000,"Planta de Biomasa Giza",70000000,Alta,"Ampliar la capacidad de almacenamiento energético,Fomentar proyectos eólicos en el desierto oriental","Ahorro en costes de energía a largo plazo","Reducción de emisiones en grandes ciudades","Mayor acceso a energía en áreas remotas"
Africa,Libia,500000,"Planta Solar Sabha",200000,"Parque Eólico Derna",0,,50000,"Planta de Biomasa Trípoli",500000,Muy Alta,"Inversiones internacionales en renovables,Desarrollo de estrategias para uso de energía solar","Diversificación económica","Reducción de emisiones en áreas urbanas","Progreso en infraestructura energética"
